x          y      cat1      cat2      cat3      cat4
1          7         1         0         0         0
1          5         1         0         0         0
1          3         1         0         0         0
1          4         1         0         0         0
1          3         1         0         0         0
2          5         0         1         0         0
2          3         0         1         0         0
2          5         0         1         0         0
2          3         0         1         0         0
2          1         0         1         0         0
3          6         0         0         1         0
3          8         0         0         1         0
3          6         0         0         1         0
3          4         0         0         1         0
3          4         0         0         1         0
4          5         0         0         0         1
4          8         0         0         0         1
4          6         0         0         0         1
4          8         0         0         0         1
4          5         0         0         0         1
