a          b          y
1          1         26
1          1         30
1          2         54
1          2         50
1          3         34
1          3         46
2          1         16
2          1         20
2          2         36
2          2         24
2          3         50
2          3         34
3          1         48
3          1         28
3          2         28
3          2         28
3          3         50
3          3         46
4          1         50
4          1         46
4          2         48
4          2         44
4          3         48
4          3         28
